sc_point_gid,latitude,longitude,country,state,county,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km,capacity_density
2712,48.8415073243142,-119.905450173934,United States,Washington,Okanogan,-8,4.29508828125,12.0121102644872,26.5453441354702,2.796708583831789
2713,48.8658528257722,-119.744560316809,United States,Washington,Okanogan,-8,5.31126057128906,14.7852155877227,13.9160129727678,2.7837488651275644
2714,48.8900383784217,-119.583530616669,United States,Washington,Okanogan,-8,5.79909572753906,15.5004414598496,13.4457272657703,2.6729066371917716
2715,48.914063757246,-119.422361821589,United States,Washington,Okanogan,-8,7.57300462646484,20.0444420116356,3.17823376490863,2.646828174591062
2716,48.9379287381442,-119.261054684154,United States,Washington,Okanogan,-8,30.7468900634766,81.5693330493178,13.5074935008617,2.6529295444488485
2717,48.961633097943,-119.099609961448,United States,Washington,Okanogan,-8,24.2752412109375,64.7899047326012,37.6861558262665,2.6689705848693825
2718,48.9851766144086,-118.938028415036,United States,Washington,Okanogan,-8,1.49611508789062,4.01596457712085,46.0753441354702,2.684261798858655
3079,48.4163804138375,-121.939348169955,United States,Washington,Skagit,-8,0.705131968688965,1.69177175820596,18.223220766632,2.3992271423339813
3080,48.4427359709704,-121.780587684578,United States,Washington,Skagit,-8,0.33660001373291,0.868100582826606,13.2013116780419,2.579027175903321
3081,48.4689348003883,-121.621678775539,United States,Washington,Skagit,-8,8.65538986816406,24.4872205055486,6.80116882454314,2.829129695892337
3082,48.4949766678109,-121.462622128889,United States,Washington,Skagit,-8,2.91602694396973,8.27309280332212,2.58551298552221,2.837111234664915
3090,48.697633117482,-120.184934242801,United States,Washington,Okanogan,-8,0.0162,0.0452688045501709,28.4534350468801,2.794370651245117
3092,48.7467114481501,-119.864084305044,United States,Washington,Okanogan,-8,5.43744041748047,15.1063898244021,25.2959415460184,2.7782170772552393
3093,48.7710114964983,-119.703449134303,United States,Washington,Okanogan,-8,3.89618997802734,10.7772461801258,12.2576363543604,2.766098737716679
3094,48.7951518340281,-119.542674815072,United States,Washington,Okanogan,-8,30.1215328857422,81.7833273384484,3.39286363288515,2.7151117324829084
3095,48.8191322372408,-119.381762092523,United States,Washington,Okanogan,-8,15.3563670043945,40.9346101600426,3.91742207411231,2.6656441688537678
3096,48.8429524835498,-119.220711716305,United States,Washington,Okanogan,-8,29.5162833251953,78.4438094544456,15.9593311627024,2.6576452255249032
3097,48.8666123512925,-119.059524440525,United States,Washington,Okanogan,-8,19.5986975097656,52.2918712376396,28.4794740162011,2.6681299209594775
3098,48.890111619742,-118.89820102374,United States,Washington,Okanogan,-8,5.58850462646484,14.9881171469206,38.8620973722849,2.6819548606872563
3099,48.9134500691187,-118.736742228944,United States,Washington,Ferry,-8,2.1682529296875,5.79492505900981,38.3247467249219,2.672624111175537
3100,48.9366274806024,-118.575148823552,United States,Washington,Ferry,-8,10.7770144042969,28.705614110905,36.3191623126504,2.6635961532592733
3101,48.959643636344,-118.413421579391,United States,Washington,Ferry,-8,1.05173091430664,2.84246113087667,61.6779674915539,2.702650547027592
3102,48.9824983194771,-118.251561272679,United States,Washington,Ferry,-8,2.98123209228516,8.19606826421041,48.5501168569454,2.749221801757809
3459,48.3221987249198,-121.894884941758,United States,Washington,Skagit,-8,0.589391983795166,1.4171482030144,7.04558441227157,2.4044239521026602
3460,48.3485061263924,-121.736369184537,United States,Washington,Skagit,-8,0.0126000002145767,0.0302302595041523,10.0874935008617,2.3992269039154053
3461,48.3746570173524,-121.577705728066,United States,Washington,Skagit,-8,7.92316796264648,22.4128475571772,1.04911688245431,2.828773498535163
3462,48.4006511650608,-121.41889525596,United States,Washington,Skagit,-8,0.128376003742218,0.3644211526652,11.034915574974,2.8387014865875257
3469,48.5782019997132,-120.303163894519,United States,Washington,Okanogan,-8,0.333071991348267,0.929732774330653,16.5749870017233,2.791386842727659
3472,48.6519211166572,-119.822858326082,United States,Washington,Okanogan,-8,1.79431191101074,4.92561058396234,23.3309285477417,2.7451250553131157
